transaction_id;Date;product_sku;Produit_Désignation;Quantité;Prix de Vente;Ventes;store_id;Fournisseur;Catégorie
17;28/09/2025 15:10;10020-190;Litière Minérale au Citron pour Chats Quaty 10L;1;54,95 DH;54,95 DH;SM-059;Quaty;Alimentaion animale
18;08/10/2025 01:02;10020-120;Croquettes au Poulet pour Chats Juniors Whiskas 300g;6;28,50 DH;171,00 DH;SM-104;Whiskas;Alimentaion animale
19;15/08/2025 00:59;10020-259;Pochon pour Chat Adulte Fish Whiskas 4x85g;8;35,50 DH;284,00 DH;SM-213;Whiskas;Alimentaion animale
20;13/06/2025 21:25;10020-284;Tapis Litière Pattes 41,5x36x5,5cm;1;9,00 DH;9,00 DH;SM-136;Gatto;Alimentaion animale
21;21/07/2025 05:28;10020-280;Snack pour Chats Anti-Boules de Poils Activpet 60g;3;15,95 DH;47,85 DH;SM-218;Activpet;Alimentaion animale
22;16/03/2025 09:45;10020-122;Croquettes au Saumon et Légumes Chats Adultes Friskies 1,7kg;2;119,95 DH;239,90 DH;SM-225;Friskies;Alimentaion animale
23;12/09/2025 00:00;10020-261;Pochon Thon en Sauce pour Chat Cat Plus 100g;6;6,50 DH;39,00 DH;SM-288;Gatto;Alimentaion animale
24;04/07/2025 12:45;10020-83;Bouchées de Saumon pour Chats Miglior Gatto 405g;6;12,40 DH;74,40 DH;SM-033;Gatto;Alimentaion animale
25;21/07/2025 23:16;10020-215;Pâtée au Foie et à la Volaille en Morceaux pour Chats Adultes AYDI 800g;4;32,95 DH;131,80 DH;SM-115;COPAG;Alimentaion animale
26;10/05/2025 06:15;10020-5;Pâtée pour Chat AYDI Companino 4x85g;2;44,50 DH;89,00 DH;SM-143;COPAG;Alimentaion animale
27;21/02/2025 09:04;10020-274;Récompense pour Chien au Canard AYDI 8 unités;1;23,65 DH;23,65 DH;SM-167;COPAG;Alimentaion animale
28;24/06/2025 05:51;10020-195;Mangeoire en Mélamine pour Chiens;8;19,90 DH;159,20 DH;SM-215;OSKAY;Alimentaion animale
29;22/04/2025 12:06;10020-44;Litière pour Chat Parfumée Lavande Guattino 5L;5;42,20 DH;211,00 DH;SM-270;Diana;Alimentaion animale
30;08/03/2025 10:26;10020-71;Balle Squeaker Jouet pour Chien;7;10,00 DH;70,00 DH;SM-050;Diana;Alimentaion animale
31;01/08/2025 14:29;10020-104;Croquettes au Bœuf pour Chats Adultes Whiskas 1,75kg;9;161,95 DH;1457,55 DH;SM-124;Whiskas;Alimentaion animale
32;04/06/2025 02:15;10020-21;Croquettes pour Chien Senior Mini au Poulet AYDI Companino 1,5kg;8;65,40 DH;523,20 DH;SM-028;COPAG;Alimentaion animale
33;18/07/2025 11:25;10020-172;Gamelle pour Chien 600ml;6;5,00 DH;30,00 DH;SM-263;OSKAY;Alimentaion animale
34;01/07/2025 04:38;10020-273;Pochons Repas Chaton Poulet Plaisir 100g;1;6,95 DH;6,95 DH;SM-127;Gatto;Alimentaion animale
35;17/04/2025 09:04;10020-230;Pâtée pour Chat Adulte AYDI Companino 400g;5;12,95 DH;64,75 DH;SM-284;COPAG;Alimentaion animale
36;21/02/2025 12:43;10020-154;Croquettes pour Chien au Bœuf Crancy 4kg;4;135,95 DH;543,80 DH;SM-080;Diana;Alimentaion animale
37;30/09/2025 18:00;10020-247;Pâtée pour Chien au Mouton et Poulet Activpet 300G;4;12,50 DH;50,00 DH;SM-128;Activpet;Alimentaion animale
38;22/03/2025 09:17;10020-263;Pochons au Bœuf Friskies 85g;2;7,95 DH;15,90 DH;SM-086;Friskies;Alimentaion animale
39;30/09/2025 09:33;10020-153;Croquettes pour Chien Adulte Medium au Bœuf AYDI Companino 4kg;6;151,95 DH;911,70 DH;SM-059;COPAG;Alimentaion animale
40;13/07/2025 07:35;10020-28;Pâtée Pour Chien Adulte au Bœuf à L'Agneau & Poulet AYDI Companino 3x1,2kg;4;85,50 DH;342,00 DH;SM-273;COPAG;Alimentaion animale
41;12/07/2025 13:30;10020-98;Croquettes au Bœuf et au Saumon pour Chats Juniors Quaty 1kg;8;37,50 DH;300,00 DH;SM-296;Quaty;Alimentaion animale
42;29/09/2025 08:38;10020-113;Croquettes au Poulet et Légumes Chats Adultes Friskies 1,5kg;6;105,95 DH;635,70 DH;SM-090;Friskies;Alimentaion animale
43;24/04/2025 14:06;10020-100;Croquettes au Bœuf et Légumes pour Chiens Adultes Pedigree 3kg;2;175,95 DH;351,90 DH;SM-047;Diana;Alimentaion animale
44;08/05/2025 11:47;10020-280;Snack pour Chats Anti-Boules de Poils Activpet 60g;4;15,95 DH;63,80 DH;SM-214;Activpet;Alimentaion animale
45;06/06/2025 18:34;10020-278;Sac de Transport pour Animaux Koopman;8;50,00 DH;400,00 DH;SM-054;Gatto;Alimentaion animale
46;18/02/2025 19:05;10020-46;Litière Agglomérante Lavande Lindocat 10L;1;75,95 DH;75,95 DH;SM-040;Diana;Alimentaion animale
47;02/06/2025 16:14;10020-284;Tapis Litière Pattes 41,5x36x5,5cm;6;9,00 DH;54,00 DH;SM-267;Gatto;Alimentaion animale
48;04/02/2025 17:03;10020-85;Bouchées pour Chien en Sauce au Bœuf Cani+ 410g;3;13,40 DH;40,20 DH;SM-304;Diana;Alimentaion animale
49;24/09/2025 22:08;10020-222;Pâtée Chat Adulte Emincé Poisson AYDI 100g 4 unités;6;25,95 DH;155,70 DH;SM-153;COPAG;Alimentaion animale
50;07/10/2025 20:33;10020-195;Mangeoire en Mélamine pour Chiens;9;19,90 DH;179,10 DH;SM-096;OSKAY;Alimentaion animale
51;25/01/2025 02:42;10020-173;Gamelle pour Chien en Acier 2 pièces;8;20,00 DH;160,00 DH;SM-149;OSKAY;Alimentaion animale
52;10/01/2025 03:51;10020-177;Harnais pour Chien Noir;7;85,00 DH;595,00 DH;SM-185;OSKAY;Alimentaion animale
53;12/04/2025 06:33;10020-241;Pâtée pour Chats à la Truite et aux Crevettes Activpet 100g;4;7,95 DH;31,80 DH;SM-272;Activpet;Alimentaion animale
54;11/08/2025 00:56;10020-153;Croquettes pour Chien Adulte Medium au Bœuf AYDI Companino 4kg;3;151,95 DH;455,85 DH;SM-192;COPAG;Alimentaion animale
55;18/07/2025 00:09;10020-9;Pochons Chien Adulte Bœuf Veg Plaisir 100G;5;5,95 DH;29,75 DH;SM-197;COPAG;Alimentaion animale
56;09/02/2025 00:55;10020-122;Croquettes au Saumon et Légumes Chats Adultes Friskies 1,7kg;2;119,95 DH;239,90 DH;SM-235;Friskies;Alimentaion animale
57;18/04/2025 15:28;10020-199;Mousse pour Chatons Activpet 85g;4;11,95 DH;47,80 DH;SM-260;Activpet;Alimentaion animale
58;03/01/2025 15:25;10020-188;Litière d'Argile Non Agglomérante pour Chat Tidy Cats 9,07kg;1;81,95 DH;81,95 DH;SM-216;OSKAY;Alimentaion animale
59;04/02/2025 18:12;10020-232;Pâtée pour chat Adulte en Sauce au Thon Simpl 400g;1;19,95 DH;19,95 DH;SM-138;Gatto;Alimentaion animale
60;28/06/2025 08:16;10020-230;Pâtée pour Chat Adulte AYDI Companino 400g;5;12,95 DH;64,75 DH;SM-150;COPAG;Alimentaion animale
61;21/04/2025 10:47;10020-165;Gamelle Antidérapante pour Chien Zolux 2L;3;10,00 DH;30,00 DH;SM-168;Diana;Alimentaion animale
62;22/01/2025 18:31;10020-19;Croquettes pour Chien Adulte au Poulet AYDI Companino 1,5kg;4;62,95 DH;251,80 DH;SM-172;COPAG;Alimentaion animale
63;07/01/2025 08:20;10020-165;Gamelle Antidérapante pour Chien Zolux 2L;9;10,00 DH;90,00 DH;SM-280;Diana;Alimentaion animale
64;27/11/2025 06:30;10020-162;Friandises pour Chat au Poulet Dentalife 40g;1;23,75 DH;23,75 DH;SM-183;Diana;Alimentaion animale
65;03/03/2025 17:31;10020-112;Croquettes au Poulet et Lait pour Chats Juniors Friskies 300g;1;22,50 DH;22,50 DH;SM-256;Friskies;Alimentaion animale
66;05/09/2025 02:52;10020-67;Brosse pour Animaux 130x75x60mm;4;34,90 DH;139,60 DH;SM-239;Diana;Alimentaion animale
67;22/07/2025 21:34;10020-213;Pâtée à l'Agneau et au Foie pour Chats Miglior Gatto 400g;8;13,60 DH;108,80 DH;SM-255;Gatto;Alimentaion animale
68;10/06/2025 04:44;10020-4;Patée pour Chats Émincés en Sauce AYDI 12x100g;1;40,60 DH;40,60 DH;SM-138;COPAG;Alimentaion animale
69;20/03/2025 02:22;10020-70;Aliment Sec pour Chat au Poulet et Légumes Cat Plus 2kg;7;68,50 DH;479,50 DH;SM-043;Diana;Alimentaion animale
70;03/09/2025 21:47;10020-172;Gamelle pour Chien 600ml;6;5,00 DH;30,00 DH;SM-134;OSKAY;Alimentaion animale
71;30/10/2025 23:47;10020-62;Batonnêts pour Chiens à l'Agneau AYDI 5x10g.;4;15,20 DH;60,80 DH;SM-044;COPAG;Alimentaion animale
72;24/11/2025 15:09;10020-212;Pâté pour Chien au Poulet Eco Oscar 300g;8;11,50 DH;92,00 DH;SM-198;Gatto;Alimentaion animale
73;04/02/2025 21:44;10020-210;Pâté pour Chat au Poulet Éco Diana 100g;1;6,30 DH;6,30 DH;SM-242;Diana;Alimentaion animale
74;21/07/2025 18:04;10020-252;Pâtée Terrines Assortiment Mix Viandes et Légumes pour Chats AYDI 4x100g;8;28,20 DH;225,60 DH;SM-144;COPAG;Alimentaion animale
75;16/11/2025 07:27;10020-170;Gamelle Nourriture ou Eau 32,5x20,23,5 1,5L;7;49,90 DH;349,30 DH;SM-038;OSKAY;Alimentaion animale
76;16/05/2025 23:24;10020-219;Pâtée Bouchées Sauce au Poulet et au Foie pour Chats Adultes AYDI 820g;1;22,95 DH;22,95 DH;SM-271;COPAG;Alimentaion animale
77;17/08/2025 23:47;10020-133;Croquettes pour Chat Adulte Light au Poulet AYDI Companino 1,5kg;7;113,95 DH;797,65 DH;SM-019;COPAG;Alimentaion animale
78;29/12/2025 03:11;10020-202;Mousselines pour Chats 4 Saveurs Gold Gourmet 4x85g;6;56,50 DH;339,00 DH;SM-077;OSKAY;Alimentaion animale
79;23/02/2025 02:46;10020-70;Aliment Sec pour Chat au Poulet et Légumes Cat Plus 2kg;8;68,50 DH;548,00 DH;SM-265;Diana;Alimentaion animale
80;05/04/2025 21:08;10020-164;Gamelle Anti Glouton pour Chien AYDI.;1;59,90 DH;59,90 DH;SM-206;COPAG;Alimentaion animale
81;24/04/2025 09:26;10020-94;Couverture pour Chien Toison 150x130cm;9;30,00 DH;270,00 DH;SM-003;Diana;Alimentaion animale
82;03/04/2025 10:50;10020-176;Griffoir Mural avec Herbe à Chats;5;25,00 DH;125,00 DH;SM-151;OSKAY;Alimentaion animale
83;05/11/2025 23:55;10020-196;Mangeoire pour Chats Double (couleur aléatoire);5;14,00 DH;70,00 DH;SM-100;OSKAY;Alimentaion animale
84;26/03/2025 21:34;10020-127;Croquettes au Thon pour Chats Adultes Whiskas 3,8Kg;1;274,25 DH;274,25 DH;SM-141;Whiskas;Alimentaion animale
85;02/07/2025 23:12;10020-281;Snack pour Chien Mini-Os Activpet 140g;5;15,60 DH;78,00 DH;SM-042;Activpet;Alimentaion animale
86;09/03/2025 08:12;10020-80;Bouchées Chat Adulte Bœuf Whiskas 400g;9;27,95 DH;251,55 DH;SM-232;Whiskas;Alimentaion animale
87;04/06/2025 03:15;10020-280;Snack pour Chats Anti-Boules de Poils Activpet 60g;1;15,95 DH;15,95 DH;SM-282;Activpet;Alimentaion animale
88;14/01/2025 23:08;10020-269;Pochons Chat Poulet Felix 85g;1;10,55 DH;10,55 DH;SM-279;Gatto;Alimentaion animale
89;21/12/2025 15:03;10020-121;Croquettes au Poulet, Dinde et Légumes pour Chats Adultes Miglior Gatto 2kg;7;83,50 DH;584,50 DH;SM-069;Gatto;Alimentaion animale
90;05/06/2025 05:16;10020-173;Gamelle pour Chien en Acier 2 pièces;7;20,00 DH;140,00 DH;SM-074;OSKAY;Alimentaion animale
91;16/10/2025 17:34;10020-207;Pâté au Bœuf pour Chiens Adultes Oskay 400g;1;15,50 DH;15,50 DH;SM-188;OSKAY;Alimentaion animale
92;08/03/2025 05:57;10020-264;Pochons au Poulet Friskies 85g;7;7,95 DH;55,65 DH;SM-041;Friskies;Alimentaion animale
93;30/07/2025 09:55;10020-26;Pochon Pure Delight Bœuf Whiskas 85g;1;10,95 DH;10,95 DH;SM-266;Whiskas;Alimentaion animale
94;04/01/2025 03:08;10020-36;Croquettes au Boeuf pour Chiens Adultes AYDI 4kg;4;103,35 DH;413,40 DH;SM-053;COPAG;Alimentaion animale
95;10/11/2025 11:39;10020-83;Bouchées de Saumon pour Chats Miglior Gatto 405g;2;12,40 DH;24,80 DH;SM-190;Gatto;Alimentaion animale
96;06/02/2025 07:13;10020-123;Croquettes au Saumon et Légumes pour Chats Adultes Friskies 300g;3;22,95 DH;68,85 DH;SM-203;Friskies;Alimentaion animale
97;09/05/2025 18:43;10020-188;Litière d'Argile Non Agglomérante pour Chat Tidy Cats 9,07kg;1;81,95 DH;81,95 DH;SM-158;OSKAY;Alimentaion animale
98;20/02/2025 05:09;10020-112;Croquettes au Poulet et Lait pour Chats Juniors Friskies 300g;8;22,50 DH;180,00 DH;SM-165;Friskies;Alimentaion animale
99;20/10/2025 08:18;10020-276;Récompense pour Chien Medium Volaille AYDI Companino 200g;1;23,40 DH;23,40 DH;SM-172;COPAG;Alimentaion animale
100;01/03/2025 10:51;10020-282;Snack pour Chiens Agneau Riz Mercies Bubimex 100g;3;15,55 DH;46,65 DH;SM-004;Gatto;Alimentaion animale
101;21/06/2025 00:34;10020-51;Friandise pour Chat Sticks au Bœuf AYDI Companino 6x5g;8;16,50 DH;132,00 DH;SM-190;COPAG;Alimentaion animale
102;22/01/2025 20:11;10020-21;Croquettes pour Chien Senior Mini au Poulet AYDI Companino 1,5kg;9;65,40 DH;588,60 DH;SM-148;COPAG;Alimentaion animale
103;13/01/2025 00:41;10020-104;Croquettes au Bœuf pour Chats Adultes Whiskas 1,75kg;6;161,95 DH;971,70 DH;SM-308;Whiskas;Alimentaion animale
104;16/10/2025 13:11;10020-176;Griffoir Mural avec Herbe à Chats;8;25,00 DH;200,00 DH;SM-298;OSKAY;Alimentaion animale
105;10/10/2025 21:41;10020-282;Snack pour Chiens Agneau Riz Mercies Bubimex 100g;1;15,55 DH;15,55 DH;SM-078;Gatto;Alimentaion animale
106;02/02/2025 13:12;10020-56;Assortiment de Pâtée pour Chats Émincés en Sauce AYDI 12x100g;1;114,40 DH;114,40 DH;SM-250;COPAG;Alimentaion animale
107;11/05/2025 02:01;10020-171;Gamelle Plastique Antidérapante Bleu Zolux 0,6L;4;14,50 DH;58,00 DH;SM-200;OSKAY;Alimentaion animale
108;20/05/2025 20:27;10020-13;Croquettes au Thon, Saumon et Légumes pour Chats Adultes AYDI 2kg;3;55,95 DH;167,85 DH;SM-173;COPAG;Alimentaion animale
109;02/11/2025 01:40;10020-168;Gamelle Double Chic Bleu Stefanplast;3;29,90 DH;89,70 DH;SM-296;Diana;Alimentaion animale
110;17/09/2025 10:06;10020-6;Pâtée pour Chat AYDI Companino 4x85g;8;44,50 DH;356,00 DH;SM-273;COPAG;Alimentaion animale
111;28/01/2025 00:07;10020-50;Croquettes Lapin et Légumes pour Chats Stérilisés AYDI 2kg;5;55,95 DH;279,75 DH;SM-102;COPAG;Alimentaion animale
112;02/12/2025 23:23;10020-267;Pochons Chat Boeuf Felix 85g;4;10,55 DH;42,20 DH;SM-084;Gatto;Alimentaion animale
113;03/07/2025 01:20;10020-19;Croquettes pour Chien Adulte au Poulet AYDI Companino 1,5kg;1;62,95 DH;62,95 DH;SM-181;COPAG;Alimentaion animale
114;17/05/2025 16:02;10020-202;Mousselines pour Chats 4 Saveurs Gold Gourmet 4x85g;1;56,50 DH;56,50 DH;SM-175;OSKAY;Alimentaion animale
115;25/09/2025 14:55;10020-131;Croquettes Mixte pour Chien Activpet 4kg;2;95,95 DH;191,90 DH;SM-005;Activpet;Alimentaion animale
116;06/09/2025 01:14;10020-84;Bouchées Poulet Chat Adulte Whiskas 400g;1;27,95 DH;27,95 DH;SM-283;Whiskas;Alimentaion animale
117;11/06/2025 13:53;10020-75;Biscuits pour Chien AYDI 1,5kg;8;76,95 DH;615,60 DH;SM-199;COPAG;Alimentaion animale
118;28/12/2025 22:56;10020-74;Biscuits Fourrés pour Chiens AYDI 500g;3;23,95 DH;71,85 DH;SM-065;COPAG;Alimentaion animale
119;30/11/2025 16:54;10020-163;Friandises pour Chien Small Dentalife 115g;8;52,95 DH;423,60 DH;SM-239;Diana;Alimentaion animale
120;27/01/2025 13:08;10020-208;Pâté Bœuf et Lait pour Chat Cat Plus 100g;6;7,50 DH;45,00 DH;SM-238;Gatto;Alimentaion animale
121;29/09/2025 16:28;10020-267;Pochons Chat Boeuf Felix 85g;6;10,55 DH;63,30 DH;SM-191;Gatto;Alimentaion animale
122;24/01/2025 12:52;10020-175;Gamelle pour Nourriture ou Eau 38x38x35cm 3,5L;1;85,00 DH;85,00 DH;SM-052;OSKAY;Alimentaion animale
123;19/04/2025 18:13;10020-179;Jouet pour Chien Lumineu dans le Noir Pets Collection;1;22,50 DH;22,50 DH;SM-005;OSKAY;Alimentaion animale
124;04/01/2025 16:58;10020-8;Récompense pour Chien Mini Sticks Dental Care AYDI Companino 110g;4;15,15 DH;60,60 DH;SM-088;COPAG;Alimentaion animale
125;25/11/2025 07:02;10020-75;Biscuits pour Chien AYDI 1,5kg;9;76,95 DH;692,55 DH;SM-024;COPAG;Alimentaion animale
126;19/05/2025 07:39;10020-248;Pâtée pour Chien AYDI Companino 4x100g;8;16,30 DH;130,40 DH;SM-030;COPAG;Alimentaion animale
127;19/12/2025 10:51;10020-104;Croquettes au Bœuf pour Chats Adultes Whiskas 1,75kg;9;161,95 DH;1457,55 DH;SM-243;Whiskas;Alimentaion animale
128;06/01/2025 22:13;10020-285;Terrine à La Dinde et Canard Gourmet 85g;2;12,95 DH;25,90 DH;SM-158;Gatto;Alimentaion animale
129;07/07/2025 04:08;10020-254;Pâtéee pour Chiens Bouchées au Poulet, au Carottes et aux Pâtes AYDI 1,25kg.;8;29,55 DH;236,40 DH;SM-256;COPAG;Alimentaion animale
130;07/07/2025 18:30;10020-85;Bouchées pour Chien en Sauce au Bœuf Cani+ 410g;5;13,40 DH;67,00 DH;SM-076;Diana;Alimentaion animale
131;17/11/2025 22:37;10020-42;Croquettes au Bœuf pour Chats AYDI Blanc 2kg;3;49,95 DH;149,85 DH;SM-157;COPAG;Alimentaion animale
132;04/10/2025 04:20;10020-260;Pochon pour Chat Adulte Viande Whiskas 4x85g;8;35,50 DH;284,00 DH;SM-304;Whiskas;Alimentaion animale
133;09/12/2025 21:47;10020-244;Pâtée pour Chien Adultes Terrines Viandes Légumes AYDI 3x300g;4;49,95 DH;199,80 DH;SM-155;COPAG;Alimentaion animale
134;22/01/2025 12:44;10020-107;Croquettes au Bœuf pour Chien Junior Oskay 2kg;7;63,95 DH;447,65 DH;SM-052;OSKAY;Alimentaion animale
135;16/08/2025 14:29;10020-20;Croquettes Pour Chien Adulte Medium et Maxi au Poulet AYDI 10kg;4;279,95 DH;1119,80 DH;SM-264;COPAG;Alimentaion animale
136;21/12/2025 21:57;10020-37;Pâtée Chat Adulte Poulet Plaisir 100g;3;6,95 DH;20,85 DH;SM-244;COPAG;Alimentaion animale
137;02/11/2025 20:59;10020-17;Colier pour Chat 1;8;17,90 DH;143,20 DH;SM-127;COPAG;Alimentaion animale
138;01/03/2025 15:14;10020-179;Jouet pour Chien Lumineu dans le Noir Pets Collection;9;22,50 DH;202,50 DH;SM-077;OSKAY;Alimentaion animale
139;29/01/2025 02:47;10020-65;Récompense pour Chien Sticks Dental Care Fresh AYDI Companino 180g;7;18,35 DH;128,45 DH;SM-127;COPAG;Alimentaion animale
140;27/11/2025 17:15;10020-274;Récompense pour Chien au Canard AYDI 8 unités;5;23,65 DH;118,25 DH;SM-247;COPAG;Alimentaion animale
141;26/03/2025 11:27;10020-33;Shampoing pour Chien Anti-Démangeaison AYDI;3;39,90 DH;119,70 DH;SM-132;COPAG;Alimentaion animale
142;29/04/2025 16:04;10020-35;Croquettes à la Volaille pour Chiens AYDI 10kg;8;249,00 DH;1992,00 DH;SM-127;COPAG;Alimentaion animale
143;27/12/2025 10:22;10020-74;Biscuits Fourrés pour Chiens AYDI 500g;6;23,95 DH;143,70 DH;SM-168;COPAG;Alimentaion animale
144;07/12/2025 19:20;10020-161;Croquettes Volaille Chats Adultes Quaty 300g;5;10,95 DH;54,75 DH;SM-166;Quaty;Alimentaion animale
145;11/03/2025 01:09;10020-281;Snack pour Chien Mini-Os Activpet 140g;3;15,60 DH;46,80 DH;SM-148;Activpet;Alimentaion animale
146;11/02/2025 07:46;10020-79;Bol pour Chien en Acier Inoxydable 15cm;9;17,90 DH;161,10 DH;SM-055;Diana;Alimentaion animale
147;22/11/2025 22:29;10020-181;Laisse en Rayures pour Chien de Taille Medium;3;29,90 DH;89,70 DH;SM-076;OSKAY;Alimentaion animale
148;19/12/2025 21:25;10020-53;Pochon Chat Adulte Poulet Whiskas 85g;7;9,95 DH;69,65 DH;SM-222;Whiskas;Alimentaion animale
149;11/04/2025 00:46;10020-94;Couverture pour Chien Toison 150x130cm;1;30,00 DH;30,00 DH;SM-001;Diana;Alimentaion animale
150;25/04/2025 22:54;10020-262;Pochon Volaille en Sauce pour Chat Cat Plus 100g;9;6,50 DH;58,50 DH;SM-017;Gatto;Alimentaion animale
151;20/08/2025 13:04;10020-69;Aliment pour Chiens Dentastix Small Pedigree 400g;6;28,95 DH;173,70 DH;SM-015;Diana;Alimentaion animale
152;15/07/2025 09:54;10020-130;Croquettes Chat Friskies Saumon 1.7kg + 300g Gratuit;4;116,95 DH;467,80 DH;SM-215;Friskies;Alimentaion animale
153;10/07/2025 14:13;10020-155;Croquettes pour Chien Bœuf Activpet 4kg;1;115,25 DH;115,25 DH;SM-087;Activpet;Alimentaion animale
154;29/03/2025 15:29;10020-132;Croquettes pour Chat Adulte Bœuf, Poulet & Légumes Friskies 300g le 2ème à -50%;1;36,90 DH;36,90 DH;SM-167;Friskies;Alimentaion animale
155;01/03/2025 04:56;10020-212;Pâté pour Chien au Poulet Eco Oscar 300g;9;11,50 DH;103,50 DH;SM-061;Gatto;Alimentaion animale
156;24/12/2025 18:45;10020-51;Friandise pour Chat Sticks au Bœuf AYDI Companino 6x5g;3;16,50 DH;49,50 DH;SM-228;COPAG;Alimentaion animale
157;03/04/2025 16:31;10020-193;Llitière Minérale pour Chats Nature Quaty 10L;9;54,95 DH;494,55 DH;SM-296;Quaty;Alimentaion animale
158;09/10/2025 15:53;10020-130;Croquettes Chat Friskies Saumon 1.7kg + 300g Gratuit;6;116,95 DH;701,70 DH;SM-043;Friskies;Alimentaion animale
159;11/07/2025 22:16;10020-50;Croquettes Lapin et Légumes pour Chats Stérilisés AYDI 2kg;2;55,95 DH;111,90 DH;SM-036;COPAG;Alimentaion animale
160;26/02/2025 07:24;10020-98;Croquettes au Bœuf et au Saumon pour Chats Juniors Quaty 1kg;3;37,50 DH;112,50 DH;SM-204;Quaty;Alimentaion animale
161;30/11/2025 13:16;10020-159;Croquettes pour Chiots au Poulet AYDI Blanc 10kg;8;359,00 DH;2872,00 DH;SM-112;COPAG;Alimentaion animale
162;04/12/2025 08:21;10020-12;Croquettes au Bœuf, Foie et aux Légumes pour Chats Adultes AYDI 2kg;4;55,95 DH;223,80 DH;SM-276;COPAG;Alimentaion animale
163;02/11/2025 10:29;10020-168;Gamelle Double Chic Bleu Stefanplast;9;29,90 DH;269,10 DH;SM-107;Diana;Alimentaion animale
164;14/09/2025 08:42;10020-184;Litière Agglomérante Charbon Actif Kikikat 10L;1;84,95 DH;84,95 DH;SM-221;OSKAY;Alimentaion animale
165;24/04/2025 21:50;10020-1;Croquettes au Bœuf et Légumes Chiens Adultes AYDI 4kg;1;113,00 DH;113,00 DH;SM-033;COPAG;Alimentaion animale
166;12/01/2025 20:51;10020-211;Pâté pour Chien au Bœuf Eco Oscar 300g;1;11,50 DH;11,50 DH;SM-114;Gatto;Alimentaion animale
167;07/12/2025 07:59;10020-17;Colier pour Chat 1;5;17,90 DH;89,50 DH;SM-181;COPAG;Alimentaion animale
168;29/06/2025 23:06;10020-83;Bouchées de Saumon pour Chats Miglior Gatto 405g;1;12,40 DH;12,40 DH;SM-239;Gatto;Alimentaion animale
169;28/05/2025 09:41;10020-80;Bouchées Chat Adulte Bœuf Whiskas 400g;9;27,95 DH;251,55 DH;SM-028;Whiskas;Alimentaion animale
170;17/09/2025 23:36;10020-273;Pochons Repas Chaton Poulet Plaisir 100g;9;6,95 DH;62,55 DH;SM-113;Gatto;Alimentaion animale
171;28/01/2025 13:32;10020-158;Croquettes pour Chiens Multi Biscrok Pedigree 500g;1;45,50 DH;45,50 DH;SM-290;Diana;Alimentaion animale
172;03/12/2025 05:48;10020-72;Barres pour Chiot Activpet Junior 100g;7;9,30 DH;65,10 DH;SM-196;Activpet;Alimentaion animale
