transaction_id;Date;product_sku;Produit_Désignation;Quantité;Prix de Vente;Ventes;store_id;Fournisseur;Catégorie
890110;20/07/2025 10:58;10130-146;Bâtonnet Glace Super Pingouin Chocolat Pingouin 75ml;13;5,95 DH;77,35 DH;SM-146;Yasmina Ice;Produits surgelés
890111;20/07/2025 11:06;10130-519;Pot Glace Chocolat Baskin Robbins 120ml.;6;27,50 DH;165,00 DH;SM-078;Baskin Robbins;Produits surgelés
890112;20/07/2025 11:15;10130-254;Crème Glacée Pistache en Bac Extra 1L;12;42,50 DH;510,00 DH;SM-252;Sahel;Produits surgelés
890114;20/07/2025 11:33;10130-55;Croquettes de Poisson Ail et Fines Herbes 20 unités 50g.;10;116,95 DH;1169,50 DH;SM-338;Asmak Sud;Produits surgelés
890115;20/07/2025 11:42;10130-408;Mochis Glacés Saveur Cheesecake Framboise Wao 6 pièces;8;124,90 DH;999,20 DH;SM-228;Goldy;Produits surgelés
890116;20/07/2025 11:50;10130-188;Bites Tiramisu Icenack 240g 6 pièces.;15;95,90 DH;1438,50 DH;SM-164;Pingouin Glace;Produits surgelés
890117;20/07/2025 11:59;10130-563;Sole Nettoyée Asmak Rais 800g;5;60,50 DH;302,50 DH;SM-056;Asmak Sud;Produits surgelés
890118;20/07/2025 12:08;10130-77;Pot macaron chocolat ganache -Pierre Hermé- Häagen-Dazs 420ml;11;84,95 DH;934,45 DH;SM-239;Häagen-Dazs;Produits surgelés
890119;20/07/2025 12:17;10130-424;Nuggets de Poulet Fisher King Perdix 300g.;7;42,95 DH;300,65 DH;SM-170;Goldy;Produits surgelés
890120;20/07/2025 12:26;10130-199;Burger Poulet Pané King Génération 340g;14;38,95 DH;545,30 DH;SM-305;Pingouin Glace;Produits surgelés
890121;20/07/2025 12:34;10130-561;Sammontana Bâtonnet Gruvi Mirtillo Insapettato 4x60g.;3;79,95 DH;239,85 DH;SM-187;Nestlé;Produits surgelés
890122;20/07/2025 12:43;10130-32;Cornet de Glace Chocolat & Pistache 6x120ml.;9;46,50 DH;418,50 DH;SM-114;Asmak Sud;Produits surgelés
890123;20/07/2025 12:52;10130-376;Mélange de Légumes Vapeur Amanhecer 200g;13;14,50 DH;188,50 DH;SM-273;Amanhecer;Produits surgelés
890124;20/07/2025 13:01;10130-132;Bâtonnet Glacé Double Chocolat Magnum 95ml.;6;21,95 DH;131,70 DH;SM-169;Magnum;Produits surgelés
890125;20/07/2025 13:09;10130-496;Pommes de Terre Rissolées 450g;10;17,95 DH;179,50 DH;SM-089;Goldy;Produits surgelés
890126;20/07/2025 13:18;10130-247;Crème Glacée Océano Vanille Fraise 1/2L;4;14,95 DH;59,80 DH;SM-231;Pingouin Glace;Produits surgelés
890128;20/07/2025 13:36;10130-68;Bâtonnet Vanille Fraise Sans Sucre Dione 90ml;8;32,25 DH;258,00 DH;SM-209;Pingouin Glace;Produits surgelés
890129;20/07/2025 13:45;10130-414;Mochis glacés saveur vanille Wao 6 pièces;15;124,90 DH;1873,50 DH;SM-033;Goldy;Produits surgelés
890130;20/07/2025 13:53;10130-176;Bâtonnets Glace Maxi Vanille Yasmina 3 unités 80ml.;1;21,25 DH;21,25 DH;SM-176;Yasmina Ice;Produits surgelés
890131;20/07/2025 14:02;10130-537;Pot Glace Strawberry Cheesecake Haagen Dasz 100ml;11;26,50 DH;291,50 DH;SM-302;Häagen-Dazs;Produits surgelés
890132;20/07/2025 14:11;10130-288;Fèves Classic 1kg;5;41,30 DH;206,50 DH;SM-115;Sahel;Produits surgelés
890133;20/07/2025 14:20;10130-579;Vacherin Vanille Framboise Erhard 95g 2 unités;13;108,90 DH;1415,70 DH;SM-244;Nestlé;Produits surgelés
890134;20/07/2025 14:28;10130-96;Ail Émincé Goldy 100g;7;16,25 DH;113,75 DH;SM-087;Goldy;Produits surgelés
890135;20/07/2025 14:37;10130-421;Nuggets de Blé Veggie 400g;9;66,55 DH;598,95 DH;SM-315;Sahel;Produits surgelés
890136;20/07/2025 14:46;10130-203;Choux de Bruxelles Amanhecer 400g;14;15,95 DH;223,30 DH;SM-203;Amanhecer;Produits surgelés
890137;20/07/2025 14:55;10130-564;Solette Essaies Asmak Sud au kg;2;52,50 DH;105,00 DH;SM-142;Asmak Sud;Produits surgelés
890138;20/07/2025 15:04;10130-39;Crème Glacée Vanille en Bac 1L.;10;29,70 DH;297,00 DH;SM-267;Asmak Sud;Produits surgelés
890139;20/07/2025 15:12;10130-358;Haricots Verts Extra Fins Findus 400g;6;40,50 DH;243,00 DH;SM-033;Goldy;Produits surgelés
890140;20/07/2025 15:21;10130-149;Bâtonnet Glace Vanille Chocolat Blanc La Menorquina 90ml.;12;21,95 DH;263,40 DH;SM-294;Pingouin Glace;Produits surgelés
890141;20/07/2025 15:30;10130-528;Pot Glace Macadamia Nut Brittle Haagen Dazs 100ml.;8;26,50 DH;212,00 DH;SM-166;Nestlé;Produits surgelés
890142;20/07/2025 15:39;10130-45;Pizza au Fromage de Chèvre au Feu de Bois Carerfour 440g;15;53,95 DH;809,25 DH;SM-081;Pingouin Glace;Produits surgelés
890143;20/07/2025 15:48;10130-397;Mochi Fruit de la Passion Signature Mochiwa 35g;3;11,55 DH;34,65 DH;SM-115;Goldy;Produits surgelés
890144;20/07/2025 15:56;10130-173;Bâtonnets Glace Double Cacahuète 4x284g.;11;50,95 DH;560,45 DH;SM-207;Asmak Sud;Produits surgelés
890145;20/07/2025 16:05;10130-545;Pot Yaourt Fruit Rouge Sans Lactose Yogurteria 500ml.;5;94,95 DH;474,75 DH;SM-293;Nestlé;Produits surgelés
890146;20/07/2025 16:14;10130-126;Bâtonnet Glace Chocolat Amande Haagen Dazs 80ml.;13;26,40 DH;343,20 DH;SM-178;Häagen-Dazs;Produits surgelés
890147;20/07/2025 16:23;10130-487;Poêlée de Légumes Verts Extra 1Kg;7;61,50 DH;430,50 DH;SM-069;Goldy;Produits surgelés
890148;20/07/2025 16:31;10130-244;Crème Glacée Novita Nougat Bac Yasmina 1L;9;38,25 DH;344,25 DH;SM-225;Yasmina Ice;Produits surgelés
890149;20/07/2025 16:40;10130-574;Tarte Chèvre Épinards 400g;14;44,95 DH;629,30 DH;SM-147;Goldy;Produits surgelés
890150;20/07/2025 16:49;10130-83;Bâtonnet Glace Toblerone 100ml.;1;22,50 DH;22,50 DH;SM-271;Pingouin Glace;Produits surgelés
890151;20/07/2025 16:58;10130-425;Nuggets de Poulet Pané Délice de la Fermière 300g;10;38,90 DH;389,00 DH;SM-098;Nestlé;Produits surgelés
890152;20/07/2025 17:07;10130-218;Cornet Glace Vanille et Caramel disc Cornetto 125ml;4;13,95 DH;55,80 DH;SM-253;Pingouin Glace;Produits surgelés
890153;20/07/2025 17:15;10130-571;Steak Végétarien Blé Soja et Pois Veggie 4x100g.;12;79,50 DH;954,00 DH;SM-116;Goldy;Produits surgelés
890154;20/07/2025 17:24;10130-53;Colin d'Alaska à la Parisienne 400g.;8;56,55 DH;452,40 DH;SM-183;Asmak Sud;Produits surgelés
890155;20/07/2025 17:33;10130-384;Mini Bâtonnets White Berry Almond Magnum 6 unités 60ml;15;87,90 DH;1318,50 DH;SM-075;Magnum;Produits surgelés
890156;20/07/2025 17:42;10130-162;Bâtonnets de Glace Stracciatella Gruvi Sammontana 4x75ml.;2;79,95 DH;159,90 DH;SM-314;Pingouin Glace;Produits surgelés
890157;20/07/2025 17:51;10130-512;Pot de Glace Mangue Framboise Haagen Dasz 100ml.;11;26,50 DH;291,50 DH;SM-233;Häagen-Dazs;Produits surgelés
890158;20/07/2025 17:59;10130-269;Crevettes Rouges 70/100 800g;6;52,95 DH;317,70 DH;SM-108;Pingouin Glace;Produits surgelés
890160;20/07/2025 18:17;10130-112;Bâtonnet de Glace Caramel Titan 3x110ml;5;38,80 DH;194,00 DH;SM-342;Pingouin Glace;Produits surgelés
890161;20/07/2025 18:26;10130-455;Pâte Feuilletée Fraichée Vol au Vent;9;24,95 DH;224,55 DH;SM-057;Nestlé;Produits surgelés
890162;20/07/2025 18:34;10130-229;Coupes Brésilienne Boni 4 unités 135ml;14;51,95 DH;727,30 DH;SM-212;Pingouin Glace;Produits surgelés
890163;20/07/2025 18:43;10130-574;Tarte Chèvre Épinards 400g;3;44,95 DH;134,85 DH;SM-165;Goldy;Produits surgelés
890164;20/07/2025 18:52;10130-38;Sorbet à la Framboise en bac Carrefour 1L;10;68,75 DH;687,50 DH;SM-281;Asmak Sud;Produits surgelés
890165;20/07/2025 19:01;10130-367;Légumes pour Potage Classic 1kg;7;24,15 DH;169,05 DH;SM-093;Sahel;Produits surgelés
890166;20/07/2025 19:10;10130-142;Batônnet Glace Sans Sucre Casty 720ml;12;88,50 DH;1062,00 DH;SM-318;Pingouin Glace;Produits surgelés
890167;20/07/2025 19:18;10130-509;Pot de Glace Dulce de Leche Casty 500ml;4;62,50 DH;250,00 DH;SM-245;Nestlé;Produits surgelés
890168;20/07/2025 19:27;10130-276;Épinards Hachés à la Crème Classic 1kg.;11;50,50 DH;555,50 DH;SM-064;Sahel;Produits surgelés
890170;20/07/2025 19:45;10130-47;Épinards Hachés 1kg.;15;28,30 DH;424,50 DH;SM-131;Asmak Sud;Produits surgelés
890171;20/07/2025 19:53;10130-386;Mini Pizza Tomate Mozzarella 9 unités 270g.;1;48,25 DH;48,25 DH;SM-089;Sahel;Produits surgelés
890172;20/07/2025 20:02;10130-154;Bâtonnet Glace Yasmina Polo Orange Fraise 10 unités 50ml.;9;21,50 DH;193,50 DH;SM-277;Yasmina Ice;Produits surgelés
890173;20/07/2025 20:11;10130-525;Pot Glace Cookies Baskin Robbins 500ml;13;89,90 DH;1168,70 DH;SM-154;Baskin Robbins;Produits surgelés
890174;20/07/2025 20:20;10130-199;Burger Poulet Pané King Génération 340g;6;38,95 DH;233,70 DH;SM-206;Pingouin Glace;Produits surgelés
890175;20/07/2025 20:29;10130-546;Pot Yaourt Glacé Nature Sans Lactose Yogurteria 500ml.;10;94,95 DH;949,50 DH;SM-041;Nestlé;Produits surgelés
890176;20/07/2025 20:37;10130-261;Crème Glacée Vanille en Bac Simpl 2l;5;57,90 DH;289,50 DH;SM-320;Sahel;Produits surgelés
890177;20/07/2025 20:46;10130-580;Velouté de Potiron Extra 1kg;14;55,95 DH;783,30 DH;SM-095;Goldy;Produits surgelés
890178;20/07/2025 20:55;10130-34;Poisson Colin d'Alaska à la Florentine 400g.;2;52,75 DH;105,50 DH;SM-248;Asmak Sud;Produits surgelés
890179;20/07/2025 21:04;10130-376;Mélange de Légumes Vapeur Amanhecer 200g;11;14,50 DH;159,50 DH;SM-167;Amanhecer;Produits surgelés
890180;20/07/2025 21:13;10130-145;Bâtonnet Glace Steccomoro Sammontana 90ml.;7;28,50 DH;199,50 DH;SM-118;Pingouin Glace;Produits surgelés
890181;20/07/2025 21:21;10130-517;Pot de Glace Stracciatella Casty 900ml;12;61,50 DH;738,00 DH;SM-279;Nestlé;Produits surgelés
890182;20/07/2025 21:30;10130-284;Feuilles de Brick Sensation 136g 8 unités.;8;12,75 DH;102,00 DH;SM-053;Sahel;Produits surgelés
890183;20/07/2025 21:39;10130-563;Sole Nettoyée Asmak Rais 800g;3;60,50 DH;181,50 DH;SM-219;Asmak Sud;Produits surgelés
890184;20/07/2025 21:48;10130-79;Cornet Glace Chocolat Cornetto 125ml.;10;12,75 DH;127,50 DH;SM-142;Pingouin Glace;Produits surgelés
890185;20/07/2025 21:56;10130-402;Mochi Speculoos & Cream Etuis Mochiwa 6x35g.;15;65,00 DH;975,00 DH;SM-334;Goldy;Produits surgelés
890186;20/07/2025 22:05;10130-187;Bites Cheesecake Icenack 240g 6 pièces.;5;95,90 DH;479,50 DH;SM-098;Pingouin Glace;Produits surgelés
890187;20/07/2025 22:14;10130-548;Potatoes Country aux Herbes Mc Cain 780g;13;46,95 DH;610,35 DH;SM-186;Nestlé;Produits surgelés
890188;20/07/2025 22:23;10130-41;Bâtonnet Duo Choco Noisettes Sensation 284g 4 unités;1;66,95 DH;66,95 DH;SM-273;Asmak Sud;Produits surgelés
890189;20/07/2025 22:32;10130-369;Lot Crème Glacée Vanille Chocolat Panda 2 unités 1L + 1L Offerte;9;36,90 DH;332,10 DH;SM-049;Goldy;Produits surgelés
890190;20/07/2025 22:40;10130-134;Bâtonnet Glace Fraise Push Up 90ml;11;5,95 DH;65,45 DH;SM-132;Pingouin Glace;Produits surgelés
890191;20/07/2025 22:49;10130-498;Pommes de Terre Steakhouse Funfries 1kg;7;39,95 DH;279,65 DH;SM-204;Nestlé;Produits surgelés
890192;20/07/2025 22:58;10130-265;Crevettes Décortiquées 50/70 Khayrat 500g;14;49,95 DH;699,30 DH;SM-235;Pingouin Glace;Produits surgelés
890194;20/07/2025 23:15;10130-92;Barre Glacée Galaxy 60ml.;12;14,50 DH;174,00 DH;SM-074;Pingouin Glace;Produits surgelés
890195;20/07/2025 23:24;10130-448;Pack Sandwich Cookie Casty 6 unités 90ml;6;73,50 DH;441,00 DH;SM-226;Nestlé;Produits surgelés
890196;15/08/2025 12:42;10130-211;Cordon Bleu Poulet Perdrix 400g;10;59,95 DH;599,50 DH;SM-159;Pingouin Glace;Produits surgelés
890197;15/08/2025 12:51;10130-562;Saucisses de Bœuf Nature Jayda 300g.;8;28,90 DH;231,20 DH;SM-304;Nestlé;Produits surgelés
890198;15/08/2025 13:00;10130-76;Cornet Glace Pistache Chocolat Disc Cornetto 130ml;13;17,95 DH;233,35 DH;SM-083;Pingouin Glace;Produits surgelés
890199;15/08/2025 13:08;10130-429;Onion Rings Leduc 450g;2;35,95 DH;71,90 DH;SM-215;Nestlé;Produits surgelés
890200;15/08/2025 13:17;10130-157;Batônnet Noisette Milka 110ml;11;18,95 DH;208,45 DH;SM-171;Pingouin Glace;Produits surgelés
890201;15/08/2025 13:26;10130-538;Pot Glace Vanilla and Cream Haagen Dazs 100ml.;5;26,50 DH;132,50 DH;SM-128;Häagen-Dazs;Produits surgelés
890202;15/08/2025 13:35;10130-244;Crème Glacée Novita Nougat Bac Yasmina 1L;14;38,25 DH;535,50 DH;SM-063;Yasmina Ice;Produits surgelés
890204;15/08/2025 13:52;10130-23;Steak Thon Albacore 125g 2 unités;9;106,95 DH;962,55 DH;SM-147;Yasmina Ice;Produits surgelés
890205;15/08/2025 14:01;10130-384;Mini Bâtonnets White Berry Almond Magnum 6 unités 60ml;12;87,90 DH;1054,80 DH;SM-091;Magnum;Produits surgelés
890206;15/08/2025 14:10;10130-126;Bâtonnet Glace Chocolat Amande Haagen Dazs 80ml.;1;26,40 DH;26,40 DH;SM-232;Häagen-Dazs;Produits surgelés
890207;15/08/2025 14:19;10130-496;Pommes de Terre Rissolées 450g;15;17,95 DH;269,25 DH;SM-047;Goldy;Produits surgelés
890208;15/08/2025 14:27;10130-279;Escalope de Poulet Panée Perdix 400g;3;47,95 DH;143,85 DH;SM-281;Pingouin Glace;Produits surgelés
890209;15/08/2025 14:36;10130-567;Sorbet Cassis en Bac Novita 1L;10;49,95 DH;499,50 DH;SM-156;Nestlé;Produits surgelés
890210;15/08/2025 14:45;10130-58;Glaces Mini Snacks Vanille 10 unités 12,5g;6;37,90 DH;227,40 DH;SM-070;Asmak Sud;Produits surgelés
890211;15/08/2025 14:54;10130-401;Mochi Sorbet Mangue Mochiwa 35g;13;12,00 DH;156,00 DH;SM-241;Goldy;Produits surgelés
890212;15/08/2025 15:03;10130-182;Bâtonnets Roll Ice Mini Passion & Tropical Casty 50ml 8 unités;8;75,50 DH;604,00 DH;SM-114;Pingouin Glace;Produits surgelés
890213;15/08/2025 15:11;10130-543;Pot Magnum Amandes 440ml;4;100,65 DH;402,60 DH;SM-327;Magnum;Produits surgelés
890214;15/08/2025 15:20;10130-37;Pommes Dauphine 500g;11;38,50 DH;423,50 DH;SM-192;Asmak Sud;Produits surgelés
890215;15/08/2025 15:29;10130-359;Haricots Verts King 450g;7;20,30 DH;142,10 DH;SM-079;Goldy;Produits surgelés
890216;15/08/2025 15:38;10130-144;Batônnet Glace Snack Casty 510ml;14;84,50 DH;1183,00 DH;SM-218;Pingouin Glace;Produits surgelés
890217;15/08/2025 15:47;10130-519;Pot Glace Chocolat Baskin Robbins 120ml.;2;27,50 DH;55,00 DH;SM-143;Baskin Robbins;Produits surgelés
890218;15/08/2025 15:55;10130-281;Feuille de Brick Mil Brick 170g 10 unités.;9;19,95 DH;179,55 DH;SM-301;Pingouin Glace;Produits surgelés
890219;15/08/2025 16:04;10130-576;Tranches de Pommes de Terre Surgelées Amanhecer 1kg;12;31,95 DH;383,40 DH;SM-062;Amanhecer;Produits surgelés
890220;15/08/2025 16:13;10130-89;Barre Glacée Peanut Butter Snickers 60ml;5;14,50 DH;72,50 DH;SM-338;Pingouin Glace;Produits surgelés
890221;15/08/2025 16:22;10130-432;Pack Glace Casty 4 unités 90ml;15;44,50 DH;667,50 DH;SM-177;Nestlé;Produits surgelés
890222;15/08/2025 16:30;10130-173;Bâtonnets Glace Double Cacahuète 4x284g.;3;50,95 DH;152,85 DH;SM-255;Asmak Sud;Produits surgelés
890223;15/08/2025 16:39;10130-546;Pot Yaourt Glacé Nature Sans Lactose Yogurteria 500ml.;10;94,95 DH;949,50 DH;SM-102;Nestlé;Produits surgelés
890224;15/08/2025 16:48;10130-247;Crème Glacée Océano Vanille Fraise 1/2L;8;14,95 DH;119,60 DH;SM-188;Pingouin Glace;Produits surgelés
890225;15/08/2025 16:57;10130-566;Sorbet au Citron Jaune en bac Carrefour 1L;13;34,95 DH;454,35 DH;SM-314;Goldy;Produits surgelés
890226;15/08/2025 17:06;10130-66;Cornet Garni Glace Chocolat Élaboré La Menorquina 100g;6;23,95 DH;143,70 DH;SM-073;Pingouin Glace;Produits surgelés
890227;15/08/2025 17:14;10130-413;Mochis Glacés Saveur Sorbet Tropical Wao 6 pièces;1;132,50 DH;132,50 DH;SM-235;Goldy;Produits surgelés
890228;15/08/2025 17:23;10130-195;Burger de Poisson Pané La Marinière 400g;11;38,50 DH;423,50 DH;SM-106;Pingouin Glace;Produits surgelés
890229;15/08/2025 17:32;10130-558;Sachet de Nuggets Cranchitta 300g;4;31,80 DH;127,20 DH;SM-289;Nestlé;Produits surgelés
890230;15/08/2025 17:41;10130-32;Cornet de Glace Chocolat & Pistache 6x120ml.;9;46,50 DH;418,50 DH;SM-165;Asmak Sud;Produits surgelés
890231;15/08/2025 17:49;10130-376;Mélange de Légumes Vapeur Amanhecer 200g;14;14,50 DH;203,00 DH;SM-047;Amanhecer;Produits surgelés
890232;15/08/2025 17:58;10130-129;Bâtonnet Glace Cookies and Cream Haagen Dazs 80ml.;7;32,95 DH;230,65 DH;SM-239;Häagen-Dazs;Produits surgelés
890233;15/08/2025 18:07;10130-501;Pommes Spicy Wedges Lutosa 750g;12;45,50 DH;546,00 DH;SM-102;Nestlé;Produits surgelés
890234;15/08/2025 18:16;10130-264;Crevette grise moyen calibre au kg;2;65,50 DH;131,00 DH;SM-058;Pingouin Glace;Produits surgelés
890235;15/08/2025 18:25;10130-579;Vacherin Vanille Framboise Erhard 95g 2 unités;10;108,90 DH;1089,00 DH;SM-311;Nestlé;Produits surgelés
890236;15/08/2025 18:33;10130-17;Mochis Vanille 6x35g.;5;92,20 DH;461,00 DH;SM-178;Yasmina Ice;Produits surgelés
890237;15/08/2025 18:42;10130-386;Mini Pizza Tomate Mozzarella 9 unités 270g.;13;48,25 DH;627,25 DH;SM-081;Sahel;Produits surgelés
890238;15/08/2025 18:51;10130-144;Batônnet Glace Snack Casty 510ml;8;84,50 DH;676,00 DH;SM-215;Pingouin Glace;Produits surgelés
890239;15/08/2025 19:00;10130-527;Pot Glace Fraise Baskin Robbins 120ml.;15;27,50 DH;412,50 DH;SM-294;Baskin Robbins;Produits surgelés
890240;15/08/2025 19:09;10130-81;Pot Glace Euphoria Magnum 440ml;3;100,65 DH;301,95 DH;SM-167;Magnum;Produits surgelés
890241;15/08/2025 19:17;10130-462;Petits Pois Extra Fins 1kg.;11;35,70 DH;392,70 DH;SM-248;Goldy;Produits surgelés
890242;15/08/2025 19:26;10130-235;Crème Glacée Chocolat en Bac Pingouin 1L;6;34,95 DH;209,70 DH;SM-095;Yasmina Ice;Produits surgelés
890243;15/08/2025 19:35;10130-573;Tarte aux Légumes Classic 400g;9;56,90 DH;512,10 DH;SM-121;Goldy;Produits surgelés
890244;15/08/2025 19:44;10130-54;Mozzarella Sticks avec Sauce Sensation 250g;14;56,15 DH;786,10 DH;SM-178;Asmak Sud;Produits surgelés
890245;15/08/2025 19:52;10130-396;Mochi Fruit de la Passion Mochiwa 6x35g;4;68,95 DH;275,80 DH;SM-207;Goldy;Produits surgelés
890246;15/08/2025 20:01;10130-182;Bâtonnets Roll Ice Mini Passion & Tropical Casty 50ml 8 unités;12;75,50 DH;906,00 DH;SM-332;Pingouin Glace;Produits surgelés
890247;15/08/2025 20:10;10130-549;Printanière de Légumes 1kg.;7;31,70 DH;221,90 DH;SM-153;Goldy;Produits surgelés
890248;15/08/2025 20:19;10130-26;Délice aux Framboises 390g.;10;146,50 DH;1465,00 DH;SM-074;Asmak Sud;Produits surgelés
890249;15/08/2025 20:28;10130-415;Morilles surgelées Magda 150g;1;208,90 DH;208,90 DH;SM-288;Goldy;Produits surgelés
890250;15/08/2025 20:36;10130-188;Bites Tiramisu Icenack 240g 6 pièces.;13;95,90 DH;1246,70 DH;SM-062;Pingouin Glace;Produits surgelés
890251;15/08/2025 20:45;10130-567;Sorbet Cassis en Bac Novita 1L;5;49,95 DH;249,75 DH;SM-249;Nestlé;Produits surgelés
890252;15/08/2025 20:54;10130-72;Barre Glacée Maxibon Nata 140ml;11;20,90 DH;229,90 DH;SM-083;Pingouin Glace;Produits surgelés
890253;15/08/2025 21:03;10130-343;Glace Sandwich Choco Biscuit Sammontana 90ml.;8;28,50 DH;228,00 DH;SM-205;Goldy;Produits surgelés
890254;15/08/2025 21:11;10130-125;Bâtonnet Glace Casty 540ml;15;61,50 DH;922,50 DH;SM-117;Pingouin Glace;Produits surgelés
890255;15/08/2025 21:20;10130-488;Poisson Pané Croquettes Ail et Fines Herbes Findus 300g 6 pièces;2;52,95 DH;105,90 DH;SM-296;Nestlé;Produits surgelés
890256;15/08/2025 21:29;10130-269;Crevettes Rouges 70/100 800g;9;52,95 DH;476,55 DH;SM-041;Pingouin Glace;Produits surgelés
890258;15/08/2025 21:47;10130-48;Paniers Feuillettés aux 2 Saumons 4x100g;6;58,35 DH;350,10 DH;SM-229;Asmak Sud;Produits surgelés
890259;15/08/2025 21:55;10130-397;Mochi Fruit de la Passion Signature Mochiwa 35g;14;11,55 DH;161,70 DH;SM-186;Goldy;Produits surgelés
890260;15/08/2025 22:04;10130-162;Bâtonnets de Glace Stracciatella Gruvi Sammontana 4x75ml.;3;79,95 DH;239,85 DH;SM-103;Pingouin Glace;Produits surgelés
890261;20/09/2025 14:16;10130-524;Pot Glace Cookies Baskin Robbins 120ml.;10;27,50 DH;275,00 DH;SM-272;Baskin Robbins;Produits surgelés
890262;20/09/2025 14:25;10130-67;Pot Glace Vanilla Salted Caramel Dione 500ml.;7;94,95 DH;664,65 DH;SM-149;Pingouin Glace;Produits surgelés
890263;20/09/2025 14:34;10130-419;Nouilles Sautées aux Crevettes 900g;13;99,95 DH;1299,35 DH;SM-088;Sahel;Produits surgelés
890264;20/09/2025 14:43;10130-231;Courge Butternut 450g;4;25,70 DH;102,80 DH;SM-234;Sahel;Produits surgelés
890265;20/09/2025 14:52;10130-575;Tarte Saumon Poireaux 400g.;11;66,95 DH;736,45 DH;SM-317;Goldy;Produits surgelés
